,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.01
5,0.03
6,0.04
7,0.04
8,0.05
9,0.06
10,0.07
11,0.12
12,0.11
13,0.15
14,0.14
15,0.12
16,0.11
17,0.11
18,0.19
19,0.34
20,0.68
21,0.84
22,1.17
23,1.39
24,1.51
25,1.79
26,1.88
27,2.05
28,2.31
29,2.72
30,2.96
31,2.95
32,3.07
33,3.5
34,3.79
35,4.0
36,4.1
37,4.17
38,4.53
39,5.04
40,5.05
41,5.48
42,5.95
43,6.45
44,6.45
45,6.93
46,7.47
47,8.2
48,8.78
49,8.78
50,9.07
51,9.05
52,9.44
53,10.09
54,10.48
55,11.31
56,12.02
57,12.85
58,13.55
59,13.94
60,13.96
61,14.78
62,14.8
63,15.24
64,15.62
65,16.03
66,16.5
67,16.83
68,17.31
69,17.47
70,17.65
71,17.94
72,18.16
73,18.65
74,19.04
75,19.44
76,19.78
77,20.12
78,20.84
79,21.48
80,22.12
81,22.12
82,22.88
83,23.74
84,24.42
85,24.93
86,25.19
87,25.43
88,25.73
89,26.65
90,27.32
91,27.97
92,28.95
93,29.62
94,30.06
95,30.58
96,31.06
97,31.87
98,32.05
99,32.17
100,32.36
101,32.42
102,32.85
103,32.85
104,33.13
105,33.52
106,33.78
107,34.2
108,35.11
109,35.84
110,36.89
111,37.71
112,38.69
113,39.12
114,39.68
115,39.87
116,40.7
117,41.65
118,42.58
119,43.47
120,44.02
121,44.7
122,45.37
123,45.68
124,46.35
125,47.05
126,47.04
127,47.68
128,48.07
129,48.7
130,49.4
131,49.95
132,50.41
133,50.47
134,50.72
135,50.94
136,51.35
137,51.72
138,51.87
139,51.85
140,52.33
141,52.38
142,52.46
143,52.04
144,52.41
145,52.49
146,52.6
147,52.7
148,52.2
149,53.19
150,53.55
151,54.59
152,54.96
153,54.92
154,55.26
155,55.27
156,55.23
157,54.96
158,55.16
159,55.67
160,56.55
161,56.54
162,57.47
163,57.55
164,57.73
165,58.26
166,58.49
167,58.72
168,59.29
169,59.62
170,60.42
171,60.65
172,61.35
173,61.76
174,62.41
175,62.76
176,63.4
177,63.68
178,63.6
179,63.5
180,63.89
181,64.78
182,64.67
183,64.39
184,64.66
185,65.08
186,65.45
187,66.05
188,66.09
189,65.37
190,64.99
191,64.59
192,63.89
193,63.47
194,63.91
195,64.32
196,64.83
197,64.95
198,65.82
199,66.75
200,67.63
201,68.55
202,69.03
203,70.03
204,70.71
205,71.27
206,71.91
207,72.48
208,72.15
209,72.38
210,72.36
211,72.4
212,72.36
213,72.75
214,73.25
215,74.01
216,74.13
217,74.11
218,74.09
219,74.07
220,74.08
221,74.16
222,74.19
223,74.63
224,74.89
225,74.82
226,75.76
227,75.84
228,76.17
229,76.16
230,76.19
231,76.64
232,77.07
233,77.3
234,77.81
235,78.27
236,78.67
237,79.21
238,79.77
239,80.22
240,80.64
241,81.22
242,81.77
243,82.7
244,83.31
245,83.76
246,84.09
247,84.2
248,85.16
249,85.24
250,85.52
251,85.45
252,85.67
253,85.93
254,85.8
255,85.83
256,85.81
257,86.12
258,86.13
259,86.12
260,86.15
261,86.3
262,86.27
263,86.83
264,87.3
265,87.42
266,87.71
267,88.05
268,88.07
269,88.53
270,88.28
271,88.82
272,88.85
273,88.92
274,88.93
275,89.19
276,89.19
277,89.6
278,90.03
279,90.54
280,90.48
281,90.73
282,91.12
283,91.5
284,91.56
285,91.53
286,91.94
287,91.97
288,92.64
289,93.4
290,94.12
291,94.76
292,95.43
293,96.09
294,96.18
295,96.19
296,95.89
297,96.05
298,96.02
299,95.95
300,95.77
301,95.76
302,95.87
303,95.86
304,95.84
305,95.82
306,95.89
307,95.88
308,96.34
309,96.38
310,96.36
311,96.41
312,96.47
313,96.57
314,96.53
315,96.48
316,96.59
317,96.74
318,96.79
319,96.77
320,96.98
321,97.03
322,96.86
323,96.9
324,96.77
325,96.83
326,96.66
327,96.68
328,96.69
329,96.53
330,96.6
331,96.61
332,96.65
333,96.98
334,96.99
335,97.04
336,97.08
337,97.11
338,97.02
339,97.02
340,97.02
341,96.93
342,96.74
343,96.57
344,96.47
345,96.34
346,96.28
347,96.26
348,96.12
349,96.12
350,96.01
351,95.99
352,95.87
353,96.1
354,96.35
355,96.54
356,96.78
357,96.91
358,97.02
359,97.02
360,96.31
361,96.32
362,96.26
363,96.09
364,96.08
365,95.92
366,95.95
367,96.02
368,95.59
369,95.62
370,95.85
371,95.81
372,95.79
373,95.77
374,95.73
375,95.7
376,95.77
377,95.8
378,95.73
379,95.6
380,95.22
381,94.94
382,94.44
383,94.44
384,94.44
385,94.38
386,94.16
387,93.9
388,93.81
389,93.79
390,93.72
391,93.86
392,93.51
393,93.54
394,93.58
395,93.57
396,93.89
397,93.75
398,93.68
399,93.77
400,93.33
401,93.36
402,93.38
403,93.34
404,93.36
405,92.88
406,92.77
407,92.73
408,92.53
409,92.03
410,92.03
411,92.01
412,92.02
413,91.58
414,91.43
415,91.61
416,91.46
417,90.98
418,90.62
419,90.68
420,90.63
421,90.62
422,90.61
423,90.53
424,90.29
425,89.83
426,89.83
427,89.9
428,89.88
429,89.91
430,89.64
431,89.51
432,89.41
433,89.38
434,89.33
435,89.48
436,89.5
437,89.47
438,89.57
439,89.67
440,89.66
441,89.69
442,89.79
443,89.97
444,90.14
445,90.24
446,90.38
447,90.53
448,90.62
449,90.51
450,90.72
451,90.8
452,90.91
453,89.98
454,89.55
455,89.4
456,89.5
457,89.59
458,89.6
459,89.63
460,90.36
461,90.46
462,90.54
463,90.56
464,90.55
465,90.59
466,90.52
467,90.58
468,90.95
469,90.86
470,90.97
471,90.88
472,90.87
473,90.9
474,90.85
475,90.85
476,90.88
477,90.81
478,90.68
479,90.72
480,91.25
481,91.37
482,91.9
483,92.03
484,92.05
485,92.3
486,92.45
487,92.82
488,92.82
489,92.96
490,93.02
491,92.94
492,93.21
493,93.19
494,93.15
495,93.17
496,93.14
497,93.11
498,93.11
499,93.06
500,93.63
501,93.59
502,93.6
503,93.69
504,93.7
505,94.2
506,94.38
507,94.46
508,94.68
509,95.07
510,95.0
511,95.02
512,94.92
513,95.41
514,95.59
515,95.62
516,95.42
517,95.76
518,95.92
519,95.74
520,95.69
521,95.81
522,96.07
523,96.13
524,96.46
525,96.87
526,96.89
527,96.98
528,97.15
529,97.31
530,97.55
531,97.71
532,97.8
533,97.77
534,97.69
535,97.51
536,97.55
537,97.64
538,97.46
539,97.46
540,97.58
541,97.01
542,96.99
543,96.51
544,96.1
545,96.25
546,96.12
547,96.22
548,96.16
549,96.37
550,96.4
551,96.42
552,96.58
553,97.48
554,98.15
555,98.27
556,98.4
557,98.41
558,98.5
559,98.58
560,98.69
561,98.65
562,98.74
563,98.95
564,99.09
565,99.22
566,99.42
567,99.48
568,99.53
569,99.72
570,99.68
571,99.93
