,0
0,0.0
1,0.12
2,0.32
3,0.48
4,0.48
5,0.51
6,0.7
7,1.01
8,1.09
9,1.1
10,1.18
11,1.46
12,1.81
13,2.09
14,2.11
15,2.11
16,2.21
17,2.26
18,2.28
19,2.3
20,2.55
21,2.55
22,2.61
23,2.67
24,2.73
25,2.87
26,2.9
27,3.2
28,3.2
29,3.41
30,3.49
31,3.58
32,4.65
33,4.8
34,5.74
35,5.73
36,5.94
37,6.05
38,6.24
39,6.24
40,6.46
41,6.44
42,6.78
43,6.87
44,7.01
45,8.2
46,8.29
47,8.32
48,8.44
49,9.29
50,10.38
51,10.38
52,10.82
53,11.63
54,11.78
55,12.72
56,12.73
57,13.51
58,14.63
59,14.72
60,14.82
61,15.93
62,17.03
63,17.99
64,18.43
65,19.43
66,20.24
67,20.49
68,21.52
69,22.74
70,22.78
71,22.94
72,24.01
73,24.35
74,25.52
75,25.9
76,27.17
77,27.76
78,27.89
79,28.29
80,28.3
81,28.31
82,28.99
83,32.72
84,33.76
85,33.77
86,33.89
87,35.48
88,35.59
89,36.23
90,36.45
91,36.76
92,37.59
93,38.16
94,39.13
95,40.18
96,40.22
97,40.87
98,42.04
99,42.74
100,43.63
101,43.54
102,44.21
103,46.43
104,48.43
105,49.42
106,49.23
107,50.05
108,51.31
109,51.71
110,52.73
111,52.71
112,54.14
113,56.08
114,56.97
115,57.17
116,58.07
117,59.13
118,60.77
119,61.24
120,62.28
121,63.5
122,64.26
123,66.97
124,67.79
125,68.26
126,69.28
127,69.2
128,69.69
129,69.99
130,70.76
131,71.56
132,70.52
133,71.69
134,71.26
135,71.33
136,71.13
137,71.11
138,71.44
139,71.45
140,71.33
141,72.44
142,72.54
143,73.65
144,75.31
145,74.64
146,74.58
147,75.39
148,77.06
149,77.21
150,76.15
151,77.06
152,76.92
153,76.98
154,77.38
155,77.56
156,78.45
157,78.73
158,78.68
159,80.03
160,81.09
161,79.98
162,79.46
163,79.58
164,79.33
165,78.33
166,78.25
167,78.14
168,78.0
169,77.17
170,78.3
171,79.05
172,78.38
173,79.06
174,79.2
175,79.19
176,78.13
177,77.64
178,77.62
179,77.23
180,77.53
181,78.47
182,78.65
183,75.87
184,75.61
185,75.69
186,77.34
187,76.91
188,78.26
189,77.71
190,78.52
191,79.02
192,78.46
193,79.42
194,78.98
195,78.91
196,78.88
197,79.52
198,78.69
199,79.46
200,79.69
201,80.77
202,80.09
203,78.81
204,77.5
205,79.35
206,80.76
207,80.62
208,79.29
209,79.4
210,78.56
211,79.29
212,78.65
213,77.49
214,77.38
215,78.53
216,78.33
217,78.4
218,76.78
219,77.4
220,76.12
221,75.0
222,74.23
223,72.83
224,72.93
225,72.32
226,71.3
227,71.44
228,72.02
229,72.57
230,72.82
231,71.96
232,72.95
233,71.67
234,72.22
235,74.07
236,75.02
237,75.35
238,74.84
239,75.85
240,76.73
241,78.35
242,78.98
243,78.63
244,76.83
245,76.37
246,76.57
247,76.99
248,75.45
249,76.72
250,78.14
251,77.39
252,78.25
253,78.33
254,78.86
255,78.85
256,79.23
257,79.21
258,79.7
259,79.19
260,79.21
261,80.19
262,80.72
263,81.37
264,81.2
265,81.22
266,81.4
267,82.5
268,81.77
269,82.66
270,82.49
271,82.54
272,83.13
273,82.5
274,81.35
275,82.0
276,83.34
277,84.22
278,85.41
279,86.53
280,87.4
281,87.75
282,86.94
283,87.06
284,87.94
285,87.94
286,87.99
287,87.68
288,87.4
289,88.28
290,88.75
291,89.3
292,89.06
293,88.7
294,89.18
