,0
0,0.0
1,0.1
2,0.32
3,0.49
4,0.54
5,0.56
6,0.59
7,0.94
8,1.11
9,1.29
10,1.3
11,1.41
12,1.67
13,1.76
14,2.54
15,2.58
16,2.8
17,3.11
18,3.15
19,3.22
20,3.27
21,3.26
22,3.29
23,3.7
24,3.76
25,3.78
26,4.12
27,4.17
28,4.18
29,4.22
30,4.2
31,4.31
32,4.71
33,5.0
34,5.08
35,5.69
36,6.18
37,6.6
38,7.2
39,7.58
40,7.61
41,7.64
42,7.69
43,7.71
44,7.78
45,7.81
46,7.84
47,8.1
48,8.45
49,8.45
50,8.85
51,8.96
52,9.52
53,9.85
54,10.07
55,10.18
56,10.27
57,10.69
58,10.71
59,10.78
60,11.11
61,11.32
62,11.87
63,12.01
64,12.09
65,12.11
66,12.59
67,13.34
68,13.66
69,13.8
70,14.02
71,15.01
72,15.38
73,15.39
74,15.42
75,15.58
76,16.0
77,16.52
78,16.79
79,17.68
80,18.77
81,19.81
82,19.83
83,20.24
84,20.34
85,20.64
86,21.13
87,21.51
88,21.75
89,22.29
90,22.58
91,22.57
92,22.83
93,23.11
94,23.31
95,23.47
96,24.32
97,25.28
98,25.37
99,25.96
100,26.0
101,26.12
102,26.22
103,27.77
104,28.17
105,28.15
106,29.17
107,29.68
108,29.49
109,29.53
110,29.57
111,29.72
112,29.83
113,30.09
114,30.08
115,30.22
116,30.11
117,30.18
118,30.57
119,30.7
120,30.87
121,31.15
122,31.12
123,30.96
124,32.02
125,32.24
126,32.25
127,32.26
128,32.27
129,33.07
130,33.57
131,34.98
132,35.36
133,35.08
134,35.56
135,35.31
136,35.21
137,34.86
138,34.73
139,34.39
140,34.49
141,34.74
142,35.27
143,36.24
144,37.6
145,38.03
146,38.15
147,39.08
148,38.89
149,39.21
150,39.53
151,39.62
152,39.12
153,39.31
154,39.52
155,40.74
156,41.43
157,42.39
158,42.99
159,43.56
160,43.46
161,46.37
162,46.3
163,46.85
164,46.94
165,46.96
166,47.61
167,48.19
168,48.95
169,49.8
170,49.84
171,49.11
172,49.17
173,49.2
174,49.77
175,50.19
176,50.96
177,50.84
178,50.93
179,50.97
180,50.79
181,50.07
182,50.87
183,50.56
184,50.7
185,51.38
186,50.94
187,50.56
188,50.51
189,50.0
190,49.73
191,51.25
192,51.01
193,51.45
194,51.26
195,51.24
196,50.47
197,49.78
198,50.18
199,49.91
200,51.32
201,52.13
202,52.08
203,51.44
204,51.3
205,51.3
206,50.63
207,50.48
208,51.24
209,51.55
210,52.38
211,53.03
212,53.07
213,53.98
214,54.74
215,57.52
216,57.73
217,58.63
218,59.07
219,59.38
220,60.62
221,61.31
222,62.42
223,62.47
224,61.64
225,62.02
226,61.75
227,61.72
228,62.67
229,62.74
230,63.56
231,62.71
232,62.31
233,62.92
234,63.39
235,63.05
236,63.35
237,63.86
238,63.67
239,63.72
240,65.68
241,65.6
242,66.04
243,65.75
244,65.3
245,66.01
246,65.91
247,66.1
248,66.51
249,66.21
250,66.14
251,66.43
252,67.7
253,68.46
254,69.1
255,70.42
256,70.9
257,69.91
258,69.53
259,68.89
260,69.23
261,66.38
262,66.29
263,65.81
264,65.67
265,65.8
266,65.29
267,64.27
268,64.41
269,63.42
270,63.7
271,63.66
272,63.85
273,63.84
274,63.24
275,63.72
276,63.32
277,63.14
278,62.86
279,62.8
280,61.91
281,62.37
282,62.3
283,62.57
284,62.65
285,61.86
286,61.83
287,62.58
288,62.45
289,62.62
290,63.15
291,63.27
292,64.42
293,64.17
294,64.26
295,64.33
296,65.8
297,65.67
298,65.45
299,66.13
300,65.56
301,65.08
302,65.06
303,64.4
304,65.15
305,66.58
306,66.51
307,66.91
308,67.49
309,68.19
