,0
0,0.0
1,0.13
2,0.18
3,0.25
4,0.26
5,0.26
6,0.26
7,0.35
8,0.34
9,0.66
10,0.69
11,0.72
12,0.73
13,0.81
14,0.98
15,1.27
16,1.32
17,1.31
18,1.33
19,1.35
20,1.46
21,1.45
22,1.5
23,1.5
24,1.72
25,1.72
26,1.78
27,1.83
28,2.07
29,2.06
30,2.07
31,2.22
32,2.27
33,2.3
34,2.28
35,2.29
36,2.28
37,2.34
38,2.61
39,2.68
40,2.95
41,3.25
42,3.28
43,3.42
44,3.52
45,3.66
46,3.79
47,4.11
48,4.34
49,4.72
50,4.73
51,4.9
52,5.34
53,5.64
54,6.35
55,6.4
56,6.7
57,7.31
58,7.73
59,8.31
60,8.47
61,8.77
62,8.8
63,9.55
64,10.1
65,10.91
66,11.16
67,11.27
68,11.31
69,11.74
70,12.12
71,12.42
72,12.46
73,13.01
74,13.35
75,13.39
76,13.88
77,13.98
78,14.75
79,15.84
80,16.27
81,16.4
82,16.43
83,16.63
84,16.7
85,16.71
86,17.37
87,17.55
88,17.85
89,17.83
90,18.59
91,18.88
92,19.28
93,19.39
94,19.72
95,20.24
96,21.46
97,21.78
98,22.31
99,22.37
100,22.62
101,23.53
102,25.46
103,25.85
104,26.36
105,27.61
106,27.93
107,27.95
108,28.02
109,27.74
110,28.29
111,28.6
112,28.63
113,28.79
114,28.61
115,28.8
116,28.86
117,29.64
118,29.88
119,30.01
120,29.91
121,29.99
122,30.22
123,31.06
124,30.95
125,31.8
126,32.93
127,33.08
128,32.86
129,33.41
130,33.5
131,33.83
132,35.13
133,36.46
134,37.21
135,38.66
136,39.47
137,39.62
138,39.42
139,39.63
140,39.45
141,40.27
142,40.49
143,40.73
144,41.48
145,41.98
146,43.01
147,43.13
148,43.64
149,43.66
150,43.65
151,43.76
152,43.96
153,44.59
154,44.4
155,45.7
156,46.23
157,47.2
158,46.85
159,47.6
160,48.49
161,48.51
162,48.63
163,48.97
164,49.45
165,49.25
166,49.42
167,49.7
168,50.52
169,50.31
170,50.31
171,50.08
172,50.5
173,50.69
174,50.53
175,51.53
176,51.19
177,51.14
178,50.84
179,49.93
180,49.92
181,51.05
182,51.91
183,51.75
184,52.12
185,52.87
186,52.27
187,53.26
188,53.48
189,55.08
190,54.5
191,55.19
192,55.25
193,55.3
194,55.44
195,55.82
196,55.89
197,55.82
198,55.62
199,55.75
200,55.96
201,55.87
202,54.72
203,54.53
204,54.63
205,54.0
206,54.49
207,54.59
208,55.52
209,55.72
210,55.78
211,56.34
212,56.76
213,57.1
214,57.75
215,57.96
216,59.94
217,59.87
218,60.32
219,61.28
220,61.87
221,62.28
222,62.62
223,62.42
224,62.78
225,62.26
226,61.07
227,61.06
228,61.71
229,61.58
230,61.5
231,61.88
232,61.5
233,60.63
234,60.14
235,59.63
236,59.74
237,59.69
238,61.02
239,61.04
240,61.28
241,60.59
242,61.52
243,62.15
244,62.29
245,61.9
246,61.68
247,62.52
248,62.25
249,61.89
250,61.9
251,62.88
252,63.04
253,63.23
254,63.64
255,63.47
256,64.84
257,64.46
258,65.3
259,64.82
260,64.66
261,64.74
262,64.69
263,63.64
264,63.11
265,62.99
266,63.5
267,63.55
268,64.03
269,64.87
270,64.58
271,65.45
272,65.74
273,65.75
274,66.55
275,65.65
276,66.63
277,66.92
278,66.6
279,66.77
280,67.07
281,66.61
282,65.8
283,66.66
284,66.62
285,66.48
286,66.49
287,65.54
288,66.36
289,64.97
290,65.27
291,64.51
292,64.45
293,65.21
294,65.88
295,65.06
296,64.85
297,65.62
298,65.72
299,65.6
300,65.16
301,65.7
302,66.83
303,66.79
304,66.36
305,65.8
306,65.13
307,64.96
308,63.99
309,64.59
310,64.31
311,64.36
312,64.25
313,64.01
314,64.06
315,63.52
316,61.59
317,62.65
318,62.73
319,61.84
320,61.67
321,61.62
322,62.37
323,62.69
324,63.27
325,64.62
326,65.04
327,65.65
328,65.27
329,65.13
330,66.06
331,65.38
332,64.75
333,66.46
334,66.34
335,66.83
336,66.29
337,66.55
338,65.2
339,66.23
340,67.12
341,66.85
342,65.72
343,65.06
344,64.12
345,64.14
346,63.78
347,63.43
348,63.73
349,63.93
350,63.98
351,62.8
352,62.42
353,61.65
354,60.98
355,60.4
356,58.23
357,57.08
358,57.71
359,56.91
360,56.7
361,56.98
362,57.55
363,57.94
364,58.21
365,57.95
366,57.15
367,58.01
368,57.66
369,58.04
370,59.76
371,60.44
372,59.9
373,59.55
374,59.2
375,59.82
376,59.38
377,59.43
378,60.45
379,61.03
380,60.98
381,61.21
382,62.53
383,61.95
384,61.55
385,61.09
386,61.39
387,61.51
388,61.08
389,61.09
390,61.38
391,62.85
392,62.52
393,61.66
394,60.65
395,60.85
396,60.68
397,59.98
398,60.93
399,61.07
400,63.32
401,62.63
402,61.74
403,61.56
404,61.91
405,62.45
406,62.99
407,64.03
408,64.97
409,65.62
410,66.36
411,65.87
412,67.04
413,67.32
414,67.15
415,68.16
416,68.55
417,68.09
418,68.59
419,71.2
420,71.96
421,71.71
422,72.39
423,71.58
424,70.6
425,68.95
426,69.01
427,68.95
428,68.83
429,68.94
430,69.52
431,69.77
432,71.19
433,69.57
434,69.54
435,68.78
436,69.44
437,69.78
438,70.6
439,69.78
440,69.76
441,70.24
442,70.98
443,70.97
444,71.45
445,71.18
446,70.61
447,70.18
448,70.83
449,71.46
450,72.44
451,73.16
452,73.56
453,73.55
454,74.29
455,75.71
456,76.68
457,78.4
458,77.44
459,77.72
460,77.2
461,76.7
462,76.32
463,77.26
464,76.82
465,76.62
466,77.77
467,76.75
468,76.27
469,75.64
470,75.96
471,75.73
472,77.29
473,77.29
474,77.28
475,77.56
476,78.16
477,79.27
478,78.73
479,78.04
480,78.61
481,78.68
482,78.98
483,79.39
484,80.01
485,81.02
486,81.2
487,80.98
488,80.15
489,81.97
490,81.79
491,80.12
492,80.11
493,80.22
494,81.38
495,81.13
496,81.36
497,81.81
498,80.93
499,81.45
500,80.36
501,80.1
502,79.29
503,80.0
504,79.67
