,0
0,0.0
1,0.99
2,1.23
3,1.4
4,1.82
5,1.96
6,2.05
7,2.23
8,2.45
9,2.65
10,2.76
11,2.81
12,2.95
13,3.09
14,3.22
15,3.24
16,3.43
17,3.62
18,3.74
19,4.27
20,4.4
21,4.47
22,4.49
23,4.52
24,4.62
25,5.24
26,5.27
27,5.32
28,5.76
29,6.03
30,6.15
31,6.15
32,6.24
33,6.52
34,7.1
35,7.17
36,7.46
37,7.78
38,7.9
39,8.08
40,8.88
41,9.41
42,10.06
43,10.4
44,10.57
45,10.75
46,10.78
47,10.93
48,11.76
49,11.94
50,12.85
51,12.86
52,13.41
53,14.2
54,14.8
55,15.04
56,16.29
57,16.6
58,16.97
59,17.55
60,17.65
61,17.66
62,17.67
63,17.74
64,18.51
65,19.0
66,19.16
67,19.44
68,19.76
69,20.06
70,20.06
71,20.33
72,20.36
73,21.02
74,21.07
75,21.28
76,21.78
77,21.87
78,22.33
79,22.62
80,22.9
81,22.92
82,24.08
83,24.15
84,24.21
85,24.56
86,24.74
87,25.26
88,25.46
89,26.67
90,27.19
91,27.87
92,28.07
93,28.27
94,28.51
95,28.52
96,28.66
97,28.72
98,28.88
99,29.26
100,29.32
101,29.26
102,29.18
103,29.54
104,29.18
105,29.7
106,29.98
107,29.99
108,29.83
109,29.82
110,30.48
111,31.08
112,31.84
113,32.09
114,32.08
115,33.43
116,33.29
117,33.17
118,33.46
119,33.19
120,33.38
121,33.35
122,33.48
123,33.44
124,33.78
125,33.51
126,33.67
127,34.15
128,34.07
129,33.82
130,33.91
131,34.15
132,34.45
133,34.31
134,34.07
135,34.4
136,34.17
137,33.88
138,34.19
139,34.3
140,34.62
141,34.92
142,34.37
143,34.34
144,34.51
145,34.35
146,34.58
147,34.69
148,33.97
149,33.87
150,33.6
151,33.76
152,34.1
153,33.47
154,33.06
155,33.74
156,33.3
157,34.01
158,34.37
159,33.87
160,33.88
161,35.3
162,35.72
163,35.81
164,35.69
165,35.73
166,35.64
167,35.77
168,35.65
169,36.35
170,37.09
171,37.88
172,38.3
173,38.13
174,38.91
175,39.25
176,39.31
177,39.23
178,38.96
179,39.01
180,39.78
181,40.14
182,39.0
183,39.14
184,39.97
185,42.41
186,42.78
187,42.5
188,42.53
189,41.38
190,41.73
191,41.14
192,41.13
193,41.56
194,41.35
195,41.45
196,41.32
197,41.91
198,41.91
199,41.58
200,41.8
201,41.17
202,41.96
203,41.46
204,41.71
205,41.48
206,41.8
207,41.77
208,42.23
209,42.17
210,41.86
211,42.16
212,41.5
213,41.12
214,41.04
215,39.7
216,40.28
217,40.24
218,40.43
219,40.27
220,40.1
221,40.77
222,41.01
223,41.04
224,41.57
225,41.73
226,41.61
227,41.39
228,41.05
229,41.11
230,41.37
231,41.95
232,41.89
233,41.95
234,43.31
235,43.98
236,44.53
237,44.92
238,45.26
239,45.13
240,44.55
241,43.8
242,44.32
243,44.18
244,44.49
245,44.8
246,44.83
247,45.37
248,45.66
249,45.77
250,45.19
251,46.23
252,45.51
253,45.74
254,46.66
255,45.95
256,45.33
257,44.84
258,44.96
259,45.75
260,45.76
261,44.44
262,44.78
263,44.83
264,44.21
265,44.53
266,44.8
267,44.91
268,44.95
269,44.21
270,43.5
271,42.84
272,42.49
273,42.1
274,41.62
275,41.17
276,41.03
277,41.3
278,41.41
279,41.09
280,40.47
281,40.17
282,40.3
283,40.38
284,40.93
285,38.3
286,37.78
287,37.96
288,37.76
289,37.81
290,37.09
291,37.02
292,37.09
293,37.12
294,37.38
295,38.12
296,38.65
297,38.54
298,39.1
299,39.99
300,40.92
301,41.13
302,40.52
303,41.18
304,41.19
305,41.11
306,40.99
307,40.97
308,40.71
309,40.72
310,40.32
311,39.72
312,39.77
313,40.02
314,40.12
315,41.14
316,40.71
317,40.72
318,40.43
319,40.62
320,40.53
321,40.49
322,40.57
323,40.77
324,40.65
325,40.62
326,41.19
327,41.62
328,42.11
329,42.68
330,42.33
331,41.6
332,41.78
333,41.81
334,40.16
335,39.75
336,39.12
337,38.83
338,39.08
339,41.07
340,40.6
341,40.51
342,39.99
343,40.37
344,40.86
345,40.57
346,40.63
347,40.0
348,40.36
349,40.66
350,40.83
351,39.64
352,39.81
353,39.78
354,38.76
355,39.22
356,39.94
357,40.37
358,40.1
359,41.04
360,41.22
361,41.26
362,40.7
363,40.72
364,40.99
365,40.17
366,40.75
367,40.38
368,41.31
369,41.85
370,42.35
371,42.05
372,42.16
373,42.49
374,42.34
375,42.5
376,42.3
377,42.31
378,42.0
379,42.24
380,42.25
381,42.18
382,43.22
383,43.25
384,42.27
385,43.15
386,43.89
387,43.7
388,44.35
389,44.38
390,44.36
391,44.46
392,44.37
393,43.86
394,43.8
395,43.2
396,43.87
397,44.2
398,44.21
399,43.53
400,42.56
401,42.13
402,42.53
403,41.87
404,41.6
405,41.73
406,42.15
407,42.23
408,42.49
409,43.15
410,43.33
411,43.41
412,43.46
413,43.82
414,43.9
415,43.0
416,43.9
417,43.88
418,43.62
419,43.73
420,44.46
421,44.85
422,44.76
423,44.94
424,44.24
425,43.85
426,43.44
427,42.78
428,43.18
429,43.37
430,44.18
431,45.18
432,45.45
433,45.52
434,46.07
435,45.47
436,45.51
437,47.25
438,46.45
439,44.7
440,45.36
441,45.98
442,45.93
443,45.62
444,44.5
445,44.99
446,45.26
447,46.03
448,46.05
449,45.86
450,46.17
451,46.69
452,46.73
453,46.4
454,47.3
455,46.65
456,46.19
