,0
0,0.0
1,0.09
2,0.27
3,0.29
4,0.27
5,0.33
6,0.35
7,0.49
8,0.46
9,0.52
10,0.56
11,0.58
12,0.61
13,0.99
14,1.0
15,0.98
16,1.02
17,1.09
18,1.14
19,1.23
20,1.33
21,1.53
22,1.59
23,1.61
24,1.72
25,2.0
26,2.12
27,2.28
28,2.28
29,2.39
30,2.48
31,2.49
32,2.48
33,2.47
34,2.58
35,2.67
36,2.76
37,2.8
38,3.41
39,3.43
40,3.9
41,4.07
42,4.08
43,4.41
44,4.62
45,5.13
46,5.36
47,5.66
48,5.71
49,5.71
50,5.82
51,6.12
52,6.22
53,6.76
54,6.79
55,6.98
56,7.18
57,7.28
58,7.46
59,7.73
60,7.84
61,7.98
62,8.13
63,8.83
64,8.97
65,9.47
66,9.57
67,10.18
68,10.24
69,10.31
70,10.53
71,10.6
72,10.76
73,10.82
74,10.96
75,11.96
76,12.35
77,12.41
78,12.59
79,12.83
80,13.49
81,13.76
82,13.79
83,13.85
84,14.09
85,14.37
86,14.47
87,14.65
88,14.79
89,15.2
90,15.31
91,15.51
92,16.36
93,16.53
94,17.18
95,17.49
96,17.77
97,18.85
98,19.21
99,19.52
100,19.69
101,19.94
102,20.19
103,20.62
104,20.8
105,21.12
106,21.1
107,21.32
108,21.38
109,21.52
110,21.61
111,21.91
112,22.13
113,22.19
114,22.58
115,22.69
116,22.82
117,22.75
118,23.07
119,23.2
120,23.46
121,23.51
122,24.04
123,24.12
124,24.34
125,24.05
126,24.16
127,24.09
128,24.52
129,24.89
130,25.43
131,25.64
132,25.92
133,25.94
134,26.01
135,26.44
136,26.94
137,27.68
138,27.4
139,28.14
140,28.22
141,28.34
142,28.56
143,28.78
144,29.76
145,29.25
146,29.7
147,29.95
148,29.96
149,30.39
150,30.57
151,30.59
152,30.65
153,30.58
154,31.17
155,31.47
156,32.32
157,33.35
158,33.63
159,34.16
160,34.98
161,35.29
162,35.28
163,34.6
164,34.55
165,34.3
166,34.52
167,33.93
168,34.11
169,34.06
170,34.21
171,34.55
172,35.0
173,34.97
174,34.91
175,33.92
176,33.74
177,33.71
178,33.74
179,33.85
180,33.96
181,34.51
182,34.62
183,34.81
184,34.72
185,34.8
186,34.85
187,35.94
188,36.48
189,36.07
190,36.49
191,36.27
192,35.75
193,35.6
194,36.24
195,36.8
196,37.39
197,36.51
198,36.7
199,36.41
200,36.88
201,36.77
202,36.42
203,36.31
204,36.78
205,36.78
206,37.08
207,36.76
208,37.46
209,37.74
210,37.79
211,37.79
212,37.6
213,38.33
214,38.49
215,38.89
216,39.15
217,39.22
218,38.93
219,39.16
220,39.51
221,39.58
222,39.42
223,39.37
224,39.27
225,39.43
226,39.54
227,40.48
228,40.26
229,40.2
230,39.69
231,39.83
232,40.03
233,40.58
234,41.14
235,40.86
236,40.29
237,39.72
238,39.37
239,38.76
240,38.45
241,38.16
242,37.94
243,37.49
244,36.84
245,37.13
246,36.98
247,36.99
248,37.99
249,37.88
250,37.65
251,37.4
252,37.31
253,36.88
254,36.29
255,36.25
256,35.32
257,34.44
258,34.15
259,33.41
260,32.76
261,32.66
262,33.12
263,33.16
264,33.48
265,33.33
266,33.03
267,33.36
268,33.3
269,33.41
270,33.11
271,33.19
272,33.12
273,33.57
