,0
0,0.0
1,0.55
2,2.01
3,2.13
4,2.42
5,2.61
6,3.26
7,3.51
8,3.75
9,3.97
10,3.98
11,4.03
12,4.16
13,4.21
14,4.44
15,4.46
16,5.1
17,5.3
18,5.58
19,5.64
20,6.22
21,6.33
22,6.49
23,6.52
24,6.55
25,6.9
26,7.02
27,7.06
28,7.17
29,7.24
30,7.31
31,7.44
32,7.48
33,7.65
34,8.08
35,8.08
36,8.43
37,9.25
38,9.63
39,9.66
40,10.28
41,10.32
42,10.32
43,10.87
44,10.88
45,11.17
46,11.88
47,11.94
48,12.25
49,12.6
50,13.07
51,13.36
52,13.55
53,13.65
54,13.91
55,14.12
56,14.13
57,14.47
58,14.65
59,14.84
60,14.84
61,15.07
62,15.24
63,16.27
64,17.37
65,17.69
66,17.91
67,18.39
68,19.07
69,19.12
70,19.35
71,19.4
72,19.46
73,19.53
74,19.79
75,19.97
76,20.57
77,20.81
78,21.23
79,21.48
80,21.51
81,21.49
82,22.04
83,22.48
84,23.28
85,23.38
86,23.47
87,24.28
88,24.89
89,25.22
90,25.34
91,25.44
92,25.84
93,25.85
94,25.94
95,26.74
96,27.64
97,28.14
98,29.25
99,29.46
100,29.51
101,29.21
102,28.19
103,28.25
104,28.66
105,28.48
106,27.87
107,27.66
108,27.75
109,27.68
110,27.69
111,28.11
112,28.01
113,28.11
114,28.26
115,28.43
116,28.0
117,28.57
118,28.37
119,28.63
120,28.08
121,28.49
122,29.64
123,30.31
124,31.06
125,30.78
126,30.71
127,31.27
128,31.24
129,31.24
130,31.5
131,32.32
132,32.34
133,32.38
134,32.23
135,32.74
136,32.4
137,31.59
138,31.25
139,31.51
140,31.13
141,31.73
142,31.76
143,31.2
144,31.43
145,32.07
146,32.32
147,32.31
148,32.35
149,32.15
150,32.79
151,32.86
152,34.02
153,34.01
154,33.9
155,35.34
156,35.39
157,36.19
158,36.2
159,36.23
160,37.07
161,37.09
162,37.3
163,36.28
164,35.84
165,36.07
166,36.28
167,36.27
168,35.8
169,36.12
170,36.27
171,36.35
172,36.66
173,37.28
174,37.77
175,37.81
176,37.42
177,38.68
178,40.17
179,40.86
180,41.08
181,41.14
182,40.58
183,41.0
184,40.58
185,40.48
186,40.83
187,40.27
188,39.78
189,40.0
190,40.09
191,40.07
192,39.95
193,40.8
194,41.59
195,41.25
196,40.74
197,40.89
198,40.51
199,40.33
200,40.72
201,41.0
202,41.32
203,41.15
204,40.52
205,40.71
206,40.96
207,40.93
208,41.19
209,41.72
210,42.1
211,43.9
212,45.1
213,45.41
214,45.23
215,45.11
216,45.11
217,45.03
218,45.24
219,45.42
220,45.46
221,45.03
222,44.38
223,44.05
224,43.32
225,44.87
226,45.54
227,46.19
228,46.11
