,0
0,0.0
1,0.19
2,0.4
3,0.47
4,0.47
5,0.53
6,0.57
7,0.54
8,0.54
9,0.54
10,0.54
11,0.53
12,0.51
13,0.51
14,0.53
15,0.7
16,0.7
17,0.77
18,0.76
19,0.8
20,0.88
21,0.87
22,1.1
23,1.25
24,1.46
25,1.66
26,1.8
27,1.94
28,2.06
29,2.22
30,2.44
31,2.8
32,3.3
33,3.31
34,3.96
35,4.52
36,5.05
37,5.43
38,5.86
39,6.28
40,6.74
41,6.74
42,7.2
43,7.81
44,8.42
45,8.85
46,9.46
47,9.45
48,9.67
49,10.09
50,10.3
51,10.95
52,11.5
53,12.02
54,12.42
55,12.94
56,13.46
57,13.87
58,14.69
59,15.45
60,16.21
61,16.2
62,16.87
63,17.35
64,17.97
65,18.89
66,19.4
67,20.07
68,20.31
69,20.51
70,21.17
71,21.76
72,22.39
73,23.03
74,23.6
75,24.25
76,25.1
77,25.93
78,26.7
79,27.46
80,28.39
81,28.38
82,29.26
83,30.14
84,31.05
85,31.15
86,31.22
87,31.2
88,31.21
89,31.23
90,32.13
91,33.01
92,33.6
93,34.54
94,34.54
95,35.45
96,35.56
97,36.43
98,37.42
99,37.42
100,38.29
101,39.11
102,39.82
103,40.65
104,41.61
105,42.48
106,43.34
107,43.92
108,43.94
109,44.9
110,44.9
111,45.03
112,46.01
113,46.93
114,47.85
115,48.64
116,48.88
117,49.71
118,50.59
119,51.49
120,52.29
121,52.57
122,53.32
123,54.18
124,54.83
125,55.5
126,56.23
127,56.97
128,57.82
129,57.76
130,57.96
131,58.45
132,58.96
133,59.93
134,60.24
135,60.62
136,60.09
137,59.69
138,60.2
139,60.77
140,61.15
141,62.04
142,62.51
143,62.86
144,63.11
145,62.68
146,62.97
147,62.99
148,63.7
149,63.38
150,64.13
151,64.37
152,64.74
153,65.18
154,65.71
155,66.09
156,66.48
157,66.05
158,66.09
159,66.19
160,66.41
161,67.33
162,67.58
163,68.0
164,67.51
165,66.61
166,66.98
167,67.26
168,67.93
169,68.75
170,68.26
171,68.55
172,68.02
173,68.3
174,67.74
175,68.0
176,68.08
177,68.13
178,68.29
179,67.63
180,67.66
181,68.68
182,67.88
183,67.96
184,67.95
185,68.75
186,69.67
187,70.67
188,71.48
189,72.3
190,72.13
191,72.21
192,72.54
193,72.53
194,73.47
195,73.44
196,74.2
197,74.32
198,73.49
199,74.39
200,74.42
201,73.66
202,73.71
203,73.74
204,73.63
205,73.62
206,73.64
207,73.94
208,74.81
209,74.72
210,75.6
211,76.38
212,76.36
213,76.39
214,75.44
215,74.71
216,75.42
217,75.42
218,75.54
219,75.49
220,74.81
221,74.56
222,74.52
223,74.37
224,74.5
225,73.62
226,73.44
227,73.11
228,72.57
229,72.97
230,73.01
231,72.58
232,71.65
233,71.47
234,70.81
235,70.73
236,71.65
237,72.53
238,71.79
239,70.78
240,70.45
241,70.4
242,69.74
243,69.36
244,68.75
245,69.05
246,68.83
247,68.93
248,68.58
249,69.31
250,68.33
251,68.39
252,68.35
253,68.39
254,67.74
255,66.94
256,66.97
257,67.92
258,67.97
259,67.13
260,67.13
261,67.14
262,67.13
263,67.2
264,67.97
265,67.93
266,67.94
267,66.97
268,66.91
269,66.97
270,67.74
271,67.79
272,68.61
273,68.61
274,69.44
275,68.55
276,68.53
277,67.91
278,67.85
279,68.65
280,68.57
281,67.66
282,68.42
283,67.45
284,67.5
285,66.68
286,66.51
287,66.54
288,65.7
289,65.75
290,65.87
291,64.9
292,64.88
293,63.94
294,63.02
295,63.11
296,62.52
297,61.87
298,61.9
299,61.25
300,60.55
301,60.46
302,59.64
303,58.83
304,58.16
305,57.4
306,56.76
307,56.15
308,55.6
309,55.03
310,54.23
311,53.48
312,52.88
313,52.18
314,52.48
315,52.49
316,52.48
317,51.97
318,51.23
319,50.64
320,51.08
321,52.08
322,52.07
323,52.13
324,51.82
325,52.74
326,52.69
327,53.21
328,53.7
329,54.16
330,54.78
331,55.29
332,56.2
333,56.49
334,57.07
335,57.18
336,57.27
337,57.42
338,58.13
339,59.08
340,59.69
341,59.81
342,60.56
343,60.94
344,61.66
345,62.28
346,62.48
347,63.39
348,63.74
349,63.93
350,64.97
351,64.92
352,64.91
353,64.93
354,65.56
355,65.65
356,65.64
357,64.81
358,64.81
359,65.76
360,64.93
361,65.03
362,65.1
363,65.02
364,65.18
365,66.2
366,66.25
367,67.1
368,67.28
369,67.14
370,67.26
371,67.36
372,67.39
373,67.57
374,67.61
375,67.61
376,67.69
377,68.29
378,68.4
379,67.67
380,67.78
381,68.59
382,68.78
383,69.84
384,69.91
385,70.77
386,71.01
387,70.99
388,71.92
389,71.94
390,71.99
391,72.95
392,72.96
393,73.95
394,74.87
395,74.84
396,75.6
397,76.21
398,76.85
399,77.67
400,77.49
401,78.39
402,78.89
403,79.57
404,80.28
405,81.1
406,81.74
407,82.41
408,82.97
409,83.71
410,84.67
411,85.41
412,86.21
413,87.01
414,87.79
