,0
0,0.0
1,0.13
2,0.17
3,0.21
4,0.23
5,0.35
6,0.72
7,0.72
8,0.96
9,0.95
10,1.16
11,1.3
12,1.31
13,1.31
14,1.36
15,1.45
16,1.52
17,1.54
18,1.68
19,1.67
20,1.79
21,1.86
22,1.94
23,2.14
24,2.45
25,2.62
26,2.81
27,2.85
28,3.02
29,3.06
30,3.2
31,3.27
32,3.42
33,3.39
34,3.43
35,3.46
36,3.47
37,3.55
38,3.59
39,3.81
40,4.94
41,5.12
42,5.43
43,5.56
44,6.06
45,6.17
46,6.2
47,6.27
48,6.29
49,6.6
50,6.72
51,6.94
52,7.02
53,7.02
54,7.17
55,7.17
56,7.65
57,8.07
58,8.23
59,8.38
60,8.44
61,8.66
62,8.97
63,9.24
64,9.44
65,9.57
66,9.86
67,10.92
68,11.15
69,11.36
70,11.58
71,13.19
72,13.36
73,13.89
74,14.1
75,14.4
76,14.49
77,14.52
78,14.78
79,14.79
80,14.98
81,15.09
82,15.39
83,15.83
84,16.5
85,16.67
86,18.19
87,18.66
88,18.73
89,19.02
90,19.23
91,19.3
92,19.48
93,19.95
94,20.05
95,20.5
96,21.7
97,22.41
98,23.44
99,24.25
100,24.27
101,24.8
102,24.84
103,25.76
104,25.99
105,26.57
106,26.8
107,27.03
108,27.41
109,27.56
110,27.76
111,27.78
112,27.84
113,27.91
114,28.05
115,27.96
116,28.74
117,29.18
118,29.46
119,29.79
120,30.01
121,30.62
122,30.85
123,30.71
124,31.09
125,32.58
126,32.96
127,34.55
128,34.56
129,34.55
130,34.6
131,34.75
132,34.74
133,35.52
134,35.67
135,35.96
136,36.66
137,37.06
138,37.2
139,37.92
140,37.21
141,37.63
142,37.92
143,37.99
144,37.9
145,38.31
146,38.5
147,39.06
148,39.68
149,40.13
150,40.37
151,40.42
152,40.99
153,41.62
154,41.71
155,41.99
156,41.68
157,42.07
158,42.33
159,42.97
160,43.77
161,43.83
162,43.77
163,44.53
164,44.76
165,44.87
166,44.92
167,44.07
168,43.82
169,43.62
170,43.5
171,42.08
172,42.22
173,42.01
174,43.47
175,43.5
176,43.78
177,43.72
178,44.07
179,44.64
180,44.96
181,45.87
182,46.26
183,47.13
184,47.54
185,48.17
186,46.91
187,46.74
188,46.82
189,47.02
190,47.83
191,48.64
192,49.22
193,49.22
194,49.62
195,49.49
196,48.85
197,49.86
198,49.66
199,49.2
200,49.56
201,49.7
202,49.96
203,49.43
204,49.27
205,48.98
206,49.26
207,49.35
208,49.14
209,49.67
210,49.54
211,49.55
212,50.36
213,50.81
214,51.8
215,53.29
216,53.36
217,55.14
218,55.23
219,55.27
220,55.45
221,55.84
222,55.93
223,56.78
224,57.41
225,56.38
226,56.15
227,54.58
228,55.0
229,55.36
230,55.55
231,55.36
232,56.04
233,56.13
234,57.35
235,57.49
236,56.82
237,56.36
238,56.25
239,55.59
240,56.25
241,55.71
242,56.08
243,56.24
244,56.07
245,56.76
246,56.54
247,56.35
248,56.03
249,55.69
250,55.67
251,55.59
252,55.62
253,55.93
254,55.7
255,55.43
256,56.29
257,55.71
258,56.46
259,56.78
260,56.27
261,56.0
262,56.0
263,54.96
264,54.65
265,55.45
266,55.3
267,57.68
268,57.71
269,58.82
270,59.91
271,61.56
272,61.43
273,62.48
274,61.02
275,60.81
276,61.3
277,62.06
278,61.54
279,61.09
280,61.12
281,60.34
282,59.81
283,58.72
284,58.35
285,58.21
286,58.26
287,58.22
288,59.83
289,59.57
290,59.42
291,58.73
292,58.03
293,57.91
294,58.73
295,58.59
296,59.24
297,58.21
298,57.92
299,57.6
300,57.44
301,56.66
302,56.58
303,56.27
304,56.57
305,57.55
306,57.54
307,57.23
308,56.94
309,57.08
310,57.43
311,57.95
312,57.37
313,57.37
314,56.61
315,55.41
316,55.49
317,53.62
318,54.31
319,54.36
320,54.68
321,54.49
322,54.94
323,55.1
324,54.92
325,54.65
326,55.4
327,55.9
328,56.29
329,56.82
330,58.0
331,58.24
332,57.52
333,57.56
334,56.84
335,57.07
336,57.13
337,57.51
338,58.38
339,58.28
340,58.47
341,58.7
342,57.91
343,58.43
344,59.0
345,58.58
346,59.54
347,59.69
348,60.91
349,60.72
350,60.8
351,62.66
352,63.04
353,62.37
354,62.91
355,62.99
356,61.94
357,62.29
358,62.13
359,62.5
360,62.66
361,63.2
362,64.41
363,65.06
364,65.79
365,66.89
366,68.68
367,66.5
368,67.48
369,68.2
370,68.65
371,68.65
372,69.24
373,68.29
374,69.23
375,69.48
376,69.94
377,69.87
378,69.9
379,70.81
380,71.36
381,72.27
382,73.57
383,74.44
384,74.62
385,74.48
386,76.96
387,77.34
388,75.62
389,75.66
390,76.43
391,76.56
392,78.51
393,79.31
394,78.81
395,78.99
396,77.87
397,77.54
398,78.13
399,79.07
400,79.35
401,80.15
402,80.42
403,80.33
404,80.82
405,79.86
406,80.42
407,81.95
408,82.23
409,81.43
410,81.72
411,81.66
412,81.97
413,82.19
414,83.95
415,84.94
416,85.86
417,85.88
418,86.12
419,86.95
420,86.62
421,86.62
422,86.66
423,86.73
424,86.02
425,85.78
426,85.44
427,86.11
428,85.36
429,86.62
430,85.04
431,84.84
432,85.85
433,86.23
434,88.18
435,87.86
436,88.53
437,88.71
438,88.16
439,88.66
440,88.51
441,88.76
442,88.89
443,88.17
444,87.95
445,87.24
446,87.32
447,87.86
448,86.98
449,88.42
450,88.24
451,87.61
452,87.05
453,86.88
454,86.58
455,87.05
456,87.45
457,87.57
458,86.59
459,85.36
460,86.43
461,87.23
462,87.14
463,88.44
464,89.16
465,89.44
466,87.79
467,88.03
468,88.25
469,87.61
470,88.54
471,86.82
472,86.96
473,90.0
474,90.63
475,91.61
476,92.1
477,92.2
478,92.79
479,93.92
480,93.97
481,94.46
482,93.7
483,93.13
484,94.04
485,93.71
486,91.11
487,92.43
488,92.52
489,92.3
490,92.04
491,93.68
492,92.98
493,92.88
494,92.58
495,93.48
496,94.55
497,95.72
498,94.76
499,93.86
500,94.32
501,93.69
502,93.65
503,93.95
504,93.54
