,0
0,0.0
1,0.02
2,0.15
3,0.15
4,0.32
5,0.32
6,0.53
7,0.73
8,1.18
9,1.28
10,1.37
11,1.49
12,1.54
13,1.6
14,1.71
15,1.79
16,1.85
17,1.87
18,1.88
19,2.06
20,2.3
21,2.54
22,2.51
23,3.05
24,3.06
25,3.64
26,3.9
27,4.29
28,4.6
29,4.97
30,5.67
31,5.74
32,6.13
33,6.33
34,6.97
35,7.01
36,7.5
37,7.81
38,7.9
39,8.0
40,8.21
41,8.74
42,9.36
43,9.79
44,9.79
45,10.38
46,10.43
47,10.72
48,10.79
49,10.92
50,11.04
51,12.11
52,12.41
53,12.39
54,12.38
55,12.93
56,13.02
57,13.04
58,13.45
59,13.62
60,14.25
61,14.38
62,14.85
63,15.41
64,15.54
65,15.77
66,16.33
67,16.46
68,16.55
69,16.82
70,17.1
71,17.34
72,17.58
73,17.88
74,18.13
75,18.25
76,19.05
77,19.4
78,19.83
79,20.14
80,20.38
81,20.94
82,21.13
83,21.16
84,21.82
85,21.91
86,22.06
87,22.32
88,23.18
89,23.35
90,23.94
91,23.99
92,24.52
93,25.87
94,25.87
95,26.02
96,26.91
97,28.12
98,28.19
99,28.89
100,29.0
101,29.57
102,29.91
103,30.19
104,31.58
105,32.0
106,32.1
107,32.68
108,33.09
109,33.27
110,34.73
111,35.11
112,35.33
113,36.23
114,36.35
115,36.96
116,37.33
117,37.32
118,37.97
119,38.21
120,38.71
121,38.58
122,39.19
123,38.74
124,39.18
125,39.03
126,39.02
127,38.88
128,38.65
129,39.0
130,39.03
131,39.4
132,39.14
133,39.33
134,38.74
135,39.25
136,39.09
137,39.21
138,39.22
139,39.59
140,39.54
141,39.44
142,39.19
143,39.42
144,39.48
145,38.94
146,39.48
147,39.68
148,39.95
149,39.81
150,40.22
151,40.54
152,40.43
153,40.86
154,41.34
155,41.62
156,41.92
157,42.87
158,42.74
159,42.82
160,43.16
161,43.91
162,43.91
163,43.74
164,44.09
165,43.98
166,43.64
167,44.93
168,45.58
169,45.84
170,45.61
171,45.86
172,45.69
173,46.04
174,45.8
175,46.67
176,46.39
177,46.25
178,45.89
179,45.72
180,46.61
181,46.33
182,46.23
183,46.77
184,46.31
185,46.36
186,47.18
187,46.96
188,46.82
189,46.78
190,46.64
191,46.99
192,46.58
193,45.7
194,45.81
195,46.92
196,46.74
197,45.59
198,45.67
199,45.44
200,45.39
201,44.87
202,44.49
203,44.94
204,43.75
205,44.49
206,45.3
207,44.59
208,43.91
209,44.08
210,43.37
211,43.39
212,43.23
213,42.56
214,43.26
215,42.55
216,42.61
217,42.77
218,42.96
219,42.58
220,42.27
221,42.72
222,43.06
223,43.91
224,44.03
225,44.04
226,44.32
227,44.38
228,44.87
229,44.27
230,44.06
231,44.81
232,44.87
233,44.92
234,45.54
235,45.24
236,45.42
237,45.11
238,45.45
239,45.17
240,45.25
241,46.04
242,46.09
243,46.19
244,46.59
245,46.68
246,46.56
247,46.39
248,46.3
249,47.47
250,46.94
251,46.35
252,46.77
253,47.07
254,46.72
255,46.96
256,46.88
257,46.09
258,47.21
259,48.55
260,47.83
261,47.11
262,46.97
263,46.76
264,47.06
265,47.66
266,47.79
267,46.45
268,45.74
269,45.37
270,45.45
271,45.45
272,45.47
273,45.17
274,45.31
275,44.51
276,44.15
277,44.72
278,44.96
279,44.83
280,44.16
281,44.24
282,44.18
283,43.87
284,44.43
285,44.48
286,44.45
287,44.4
288,44.22
289,44.24
290,44.1
291,43.77
292,43.99
293,44.33
294,44.79
295,43.75
296,43.7
297,44.64
298,44.95
299,44.53
300,45.51
301,45.72
302,45.73
303,45.82
304,45.72
305,45.87
306,45.04
307,46.92
308,47.17
309,46.9
310,46.34
311,46.05
312,46.2
313,46.8
314,45.91
315,46.2
316,45.91
317,46.39
318,46.46
319,46.88
320,46.82
321,46.39
322,46.47
323,45.65
324,46.0
325,46.11
326,45.66
327,45.46
328,45.8
329,45.72
330,46.01
331,44.98
332,44.97
333,45.0
334,44.4
335,44.97
336,44.99
337,45.2
338,44.83
339,45.17
340,45.58
341,44.81
342,44.98
343,44.37
344,45.76
345,46.35
346,46.18
347,46.43
348,46.91
349,47.82
350,48.12
351,47.66
352,47.42
353,46.77
354,46.74
355,45.76
356,45.61
357,45.74
358,44.65
359,43.1
360,42.88
361,43.19
362,42.86
363,43.0
364,42.23
365,42.05
366,41.98
367,42.21
368,42.36
369,42.5
370,42.56
371,43.1
372,43.08
373,42.99
374,42.91
375,44.44
376,45.0
377,44.43
378,45.15
379,45.6
380,45.75
381,45.92
382,46.2
383,46.54
384,46.25
385,46.56
386,46.0
387,47.37
388,46.87
389,47.05
390,47.36
391,47.61
392,47.54
393,46.94
394,46.51
395,47.61
396,46.99
397,46.27
398,46.1
399,46.3
400,45.45
401,45.43
402,45.57
403,45.7
404,45.48
405,44.3
406,44.48
407,43.19
408,43.78
409,44.25
410,45.0
411,44.82
412,44.55
413,43.74
414,43.71
415,44.0
416,44.12
417,44.27
418,43.71
419,43.47
420,43.82
421,44.11
422,44.22
423,44.12
424,43.5
425,43.8
426,44.45
427,44.71
428,43.98
429,44.18
430,43.57
431,43.9
432,43.79
433,43.96
434,44.73
435,44.73
436,44.3
437,44.5
438,45.93
439,46.39
440,46.01
441,46.63
442,46.05
443,46.9
444,46.33
445,45.82
446,45.71
447,45.44
448,46.01
449,44.13
450,43.88
451,44.11
452,44.04
453,44.41
454,44.52
455,44.78
456,45.59
457,45.41
458,45.34
459,45.7
460,46.95
461,46.64
462,47.06
463,46.92
464,46.95
465,46.5
466,46.69
467,46.81
468,47.02
469,47.66
470,48.52
471,47.52
472,47.68
473,47.94
474,47.89
475,46.31
476,45.94
477,45.77
478,44.87
479,44.56
480,43.96
481,43.43
482,43.26
483,42.7
484,42.5
485,43.13
486,43.54
487,42.71
488,42.77
489,42.5
490,42.13
491,41.86
492,42.05
493,42.11
494,42.92
495,42.36
496,42.47
497,42.88
498,42.94
499,44.06
500,44.65
501,44.64
502,44.62
503,44.74
504,45.36
505,46.07
506,46.28
507,45.99
508,45.07
509,44.42
510,44.23
511,45.41
512,46.05
513,46.0
514,46.45
515,45.91
516,46.02
517,45.37
518,45.4
519,45.5
520,45.14
521,45.21
522,44.58
523,45.5
524,46.76
525,46.05
526,45.85
527,45.52
528,46.43
529,47.2
530,47.02
531,46.82
532,47.71
533,48.03
534,48.74
535,48.95
536,49.37
537,48.94
538,47.75
539,46.82
540,47.01
541,45.98
542,46.59
543,45.75
544,45.26
545,45.46
546,45.42
547,45.38
548,44.99
549,44.9
550,45.16
551,44.71
552,44.43
553,44.65
554,44.66
555,44.94
556,44.97
557,44.95
558,45.12
559,45.44
560,44.82
561,44.75
562,45.11
563,45.6
564,46.8
565,47.17
566,46.82
567,47.29
568,47.25
569,46.84
570,46.23
571,46.77
